iso3,year,esperance_vie,medecins,uhc,vaccination_dtp3,sante_mentale,services_veterinaires,maladies_animales,vaccination_animale,bien_etre_animal,faune_sauvage,qualite_air,qualite_eau,biodiversite,couverture_forestiere,traitement_eaux_usees,liberte_presse,surveillance_epidemiologique,partage_donnees,preparation_pandemies,gestion_crises
GMB,2010,,,,,,,,,,,,,,29.6442687747036,,,,,,
GMB,2020,,,,,,,,,,,,,,23.9792490118577,,,,,,
GMB,2026,,,,,,,,,,,,,,22.2792391304348,,,,,,
GNB,2000,,,,,,,,,,,,,,76.4182076813656,,,,,,
GNB,2010,,,,,,,,,,,,,,73.4150071123755,,,,,,
GNB,2020,,,,,,,,,,,,,,70.4128733997155,,,,,,
GNB,2026,,,,,,,,,,,,,,69.5124466571835,,,,,,
GNQ,2000,,,,,,,,,,,,,,93.2470588235294,,,,,,
GNQ,2010,,,,,,,,,,,,,,90.2677361853832,,,,,,
GNQ,2020,,,,,,,,,,,,,,87.2877005347594,,,,,,
GNQ,2026,,,,,,,,,,,,,,86.3935828877005,,,,,,
GRC,2000,,,,,,,,,,,,,,27.93040806827,,,,,,
GRC,2010,,,,,,,,,,,,,,30.27,,,,,,
GRC,2020,,,,,,,,,,,,,,30.2699767261443,,,,,,
GRC,2026,,,,,,,,,,,,,,30.2699767261443,,,,,,
GRD,2000,,,,,,,,,,,,,,52.0588235294118,,,,,,
GRD,2010,,,,,,,,,,,,,,52.0588235294118,,,,,,
GRD,2020,,,,,,,,,,,,,,52.0588235294118,,,,,,
GRD,2026,,,,,,,,,,,,,,52.0588235294118,,,,,,
GRL,2000,,,,,,,,,,,,,,0.000535997076379583,,,,,,
GRL,2010,,,,,,,,,,,,,,0.000535997076379583,,,,,,
GRL,2020,,,,,,,,,,,,,,0.000535997076379583,,,,,,
GRL,2026,,,,,,,,,,,,,,0.000535997076379583,,,,,,
GTM,2000,,,,,,,,,,,,,,39.2795819335573,,,,,,
GTM,2010,,,,,,,,,,,,,,34.7387084733109,,,,,,
GTM,2020,,,,,,,,,,,,,,32.9208659947742,,,,,,
GTM,2026,,,,,,,,,,,,,,32.5961179544606,,,,,,
GUM,2000,,,,,,,,,,,,,,44.4444444444444,,,,,,
GUM,2010,,,,,,,,,,,,,,44.4444444444444,,,,,,
GUM,2020,,,,,,,,,,,,,,51.8518518518518,,,,,,
GUM,2026,,,,,,,,,,,,,,51.8518518518518,,,,,,
GUY,2000,,,,,,,,,,,,,,94.3064262128524,,,,,,
GUY,2010,,,,,,,,,,,,,,94.0808229616459,,,,,,
GUY,2020,,,,,,,,,,,,,,87.2186227147864,,,,,,
GUY,2026,,,,,,,,,,,,,,87.0878369802027,,,,,,
HKG,2000,,,,,,,,,,,,,,,,,,,,
HKG,2010,,,,,,,,,,,,,,,,,,,,
HKG,2020,,,,,,,,,,,,,,,,,,,,
HKG,2026,,,,,,,,,,,,,,,,,,,,
HND,2000,,,,,,,,,,,,,,60.5797658414514,,,,,,
HND,2010,,,,,,,,,,,,,,58.7672714272947,,,,,,
HND,2020,,,,,,,,,,,,,,56.8349271606042,,,,,,
HND,2026,,,,,,,,,,,,,,56.2732147645008,,,,,,
HRV,2000,,,,,,,,,,,,,,33.7136929460581,,,,,,
HRV,2010,,,,,,,,,,,,,,34.3077692802516,,,,,,
HRV,2020,,,,,,,,,,,,,,34.6517155110793,,,,,,
HRV,2026,,,,,,,,,,,,,,34.785739814153,,,,,,
HTI,2000,,,,,,,,,,,,,,13.8116835994194,,,,,,
HTI,2010,,,,,,,,,,,,,,13.7293178519594,,,,,,
HTI,2020,,,,,,,,,,,,,,12.6015965166909,,,,,,
HTI,2026,,,,,,,,,,,,,,12.2630624092888,,,,,,
HUN,2000,,,,,,,,,,,,,,21.4368444543629,,,,,,
HUN,2010,,,,,,,,,,,,,,22.6045509775765,,,,,,
HUN,2020,,,,,,,,,,,,,,22.4962743808898,,,,,,
HUN,2026,,,,,,,,,,,,,,22.4484341442034,,,,,,
IDN,2000,,,,,,,,,,,,,,53.943528667353,,,,,,
IDN,2010,,,,,,,,,,,,,,53.0802617709861,,,,,,
IDN,2020,,,,,,,,,,,,,,49.0717803654717,,,,,,
IDN,2026,,,,,,,,,,,,,,47.7220336902463,,,,,,
IMN,2000,,,,,,,,,,,,,,6.07017543859649,,,,,,
IMN,2010,,,,,,,,,,,,,,6.07017543859649,,,,,,
IMN,2020,,,,,,,,,,,,,,6.07017543859649,,,,,,
IMN,2026,,,,,,,,,,,,,,6.07017543859649,,,,,,
IND,2000,,,,,,,,,,,,,,22.7334950003195,,,,,,
IND,2010,,,,,,,,,,,,,,23.3742209545976,,,,,,
IND,2020,,,,,,,,,,,,,,24.270228273336,,,,,,
IND,2026,,,,,,,,,,,,,,24.5390304689576,,,,,,
IRL,2000,,,,,,,,,,,,,,9.15023951226593,,,,,,
IRL,2010,,,,,,,,,,,,,,10.4569603716069,,,,,,
IRL,2020,,,,,,,,,,,,,,11.3517201335462,,,,,,
IRL,2026,,,,,,,,,,,,,,11.5259108724053,,,,,,
IRN,2000,,,,,,,,,,,,,,5.72561948967313,,,,,,
IRN,2010,,,,,,,,,,,,,,6.56449077826076,,,,,,
IRN,2020,,,,,,,,,,,,,,6.62681047765794,,,,,,
IRN,2026,,,,,,,,,,,,,,6.64923611710324,,,,,,
IRQ,2000,,,,,,,,,,,,,,1.87027002309258,,,,,,
IRQ,2010,,,,,,,,,,,,,,1.89952109044023,,,,,,
IRQ,2020,,,,,,,,,,,,,,1.90035242899592,,,,,,
IRQ,2026,,,,,,,,,,,,,,1.90035242899592,,,,,,
ISL,2000,,,,,,,,,,,,,,0.297556109725686,,,,,,
ISL,2010,,,,,,,,,,,,,,0.445586034912718,,,,,,
ISL,2020,,,,,,,,,,,,,,0.5092730338193,,,,,,
ISL,2026,,,,,,,,,,,,,,0.528744421303184,,,,,,
