Année,Semestre,Région mondiale,Pays,Division administrative,Maladie,Génotype/sérotype/sous-type,Catégorie animale,Event_id,Espèce,Outbreak_id,Nouveaux foyers,Sensibles,Unités de mesure,Cas,Mis à mort et éliminés,Abattus/mis a mort à des fins commerciales,Morts,Vaccinés
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Dermatose nodulaire contagieuse (Inf. par le virus de la)","",Domestique,-,"Bovins",-,-,-,Animal,48,0,0,3,3977
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Dermatose nodulaire contagieuse (Inf. par le virus de la)","",Tous,-,"",-,15,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Fièvre aphteuse  (Inf. par le virus de la)","SAT 1",Domestique,-,"Bovins",-,-,-,Animal,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Fièvre catarrhale ovine (Inf. par le virus de la)","",Domestique,-,"Caprins",-,-,-,Animal,30,0,0,0,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Fièvre catarrhale ovine (Inf. par le virus de la)","",Domestique,-,"Ovins",-,-,-,Animal,6,0,0,0,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Fièvre catarrhale ovine (Inf. par le virus de la)","",Tous,-,"",-,2,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Fièvre charbonneuse","",Domestique,-,"Buffles",-,-,-,Animal,1,0,0,1,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Fièvre charbonneuse","",Tous,-,"",-,1,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Fièvre de la Vallée du Rift  (Inf. par le virus de la)","",Domestique,-,"Ovins",-,-,2165,Animal,31,0,0,29,764
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Fièvre de la Vallée du Rift  (Inf. par le virus de la)","",Tous,-,"",-,5,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Peste équine  (Inf. par le virus de la)","not sampled",Domestique,-,"Equidés",-,-,-,Animal,24,0,0,5,5
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Peste équine  (Inf. par le virus de la)","not sampled",Tous,-,"",-,22,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Rage (Inf. par le virus de la)","",Domestique,-,"Chiens",-,-,-,Animal,40,11,0,29,11876
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Rage (Inf. par le virus de la)","",Domestique,-,"Bovins",-,-,-,Animal,16,0,0,16,4
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Rage (Inf. par le virus de la)","",Domestique,-,"Caprins",-,-,-,Animal,4,1,0,3,257
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Rage (Inf. par le virus de la)","",Domestique,-,"Ovins",-,-,-,Animal,1,0,0,1,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Rage (Inf. par le virus de la)","",Sauvage,-,"Faune sauvage (espèce non spécifiée)",-,-,-,Animal,1,0,0,1,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Rage (Inf. par le virus de la)","",Tous,-,"",-,57,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Theileria equi et Babesia caballi (Inf. à) (Piroplasmose équine)","",Domestique,-,"Bovins",-,-,2,Animal,1,0,0,0,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Theileria equi et Babesia caballi (Inf. à) (Piroplasmose équine)","",Domestique,-,"Equidés",-,-,-,Animal,7,0,0,0,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Theileria equi et Babesia caballi (Inf. à) (Piroplasmose équine)","",Tous,-,"",-,9,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Trichomonose","",Domestique,-,"Bovins",-,-,-,Animal,11,0,0,0,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Trichomonose","",Tous,-,"",-,5,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Tuberculose bovine (-2018)","",Domestique,-,"Bovins",-,-,-,Animal,5,1,0,0,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Tuberculose bovine (-2018)","",Domestique,-,"Buffles",-,-,-,Animal,3,0,0,0,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Tuberculose bovine (-2018)","",Domestique,-,"Lapins",-,-,-,Animal,1,0,0,0,-
